id_obra,chuva_mm
CCbjj-100,58
CCbjj-101,205
CCbjj-102,421
CCbjj-103,97
CCbjj-104,121
CCbjj-105,337
CCbjj-106,104
CCbjj-107,367
CCbjj-108,114
CCbjj-109,396
CCbjj-110,87
CCbjj-111,90
CCbjj-112,453
CCbjj-113,125
CCbjj-114,302
CCbjj-115,255
CCbjj-116,366
CCbjj-117,44
CCbjj-118,241
CCbjj-119,388
CCbjj-120,424
CCbjj-121,368
CCbjj-122,381
CCbjj-123,355
CCbjj-124,367
CCbjj-125,406
CCbjj-126,205
CCbjj-127,298
CCbjj-128,148
CCbjj-129,183
CCbjj-130,37
CCbjj-131,311
CCbjj-132,398
CCbjj-133,427
CCbjj-134,275
CCbjj-135,454
CCbjj-136,163
CCbjj-137,173
CCbjj-138,256
CCbjj-139,63
CCbjj-140,325
CCbjj-141,169
CCbjj-142,414
CCbjj-143,314
CCbjj-144,238
CCbjj-145,111
CCbjj-146,462
CCbjj-147,277
CCbjj-148,429
CCbjj-149,384
CCbjj-150,166
CCbjj-151,472
CCbjj-152,393
CCbjj-153,324
CCbjj-154,451
CCbjj-155,35
CCbjj-156,375
CCbjj-157,110
CCbjj-158,373
CCbjj-159,103
CCbjj-160,344
CCbjj-161,32
CCbjj-162,432
CCbjj-163,256
CCbjj-164,184
CCbjj-165,310
CCbjj-166,242
CCbjj-167,223
CCbjj-168,369
CCbjj-169,436
CCbjj-170,409
CCbjj-171,92
CCbjj-172,471
CCbjj-173,254
CCbjj-174,335
CCbjj-175,421
CCbjj-176,405
CCbjj-177,464
CCbjj-178,130
CCbjj-179,277
CCbjj-180,327
CCbjj-181,348
CCbjj-182,444
CCbjj-183,134
CCbjj-184,88
CCbjj-185,239
CCbjj-186,124
CCbjj-187,119
CCbjj-188,373
CCbjj-189,80
CCbjj-190,470
CCbjj-191,418
CCbjj-192,232
CCbjj-193,81
CCbjj-194,222
CCbjj-195,169
CCbjj-196,131
CCbjj-197,436
CCbjj-198,149
CCbjj-199,337
CCbjj-200,393
CCbjj-201,476
CCbjj-202,105
CCbjj-203,160
CCbjj-204,181
CCbjj-205,247
CCbjj-206,108
CCbjj-207,380
CCbjj-208,455
CCbjj-209,434
CCbjj-210,281
CCbjj-211,242
CCbjj-212,404
CCbjj-213,370
CCbjj-214,148
CCbjj-215,182
CCbjj-216,41
CCbjj-217,333
CCbjj-218,130
CCbjj-219,239
CCbjj-220,103
CCbjj-221,227
CCbjj-222,214
CCbjj-223,314
CCbjj-224,186
CCbjj-225,250
CCbjj-226,203
CCbjj-227,267
CCbjj-228,38
CCbjj-229,281
CCbjj-230,61
CCbjj-231,170
CCbjj-232,395
CCbjj-233,210
CCbjj-234,360
CCbjj-235,127
CCbjj-236,339
CCbjj-237,409
CCbjj-238,401
CCbjj-239,442
CCbjj-240,208
CCbjj-241,489
CCbjj-242,206
CCbjj-243,380
CCbjj-244,454
CCbjj-245,499
CCbjj-246,247
CCbjj-247,297
CCbjj-248,320
CCbjj-249,398
CCbjj-250,289
CCbjj-251,74
CCbjj-252,334
CCbjj-253,487
CCbjj-254,273
CCbjj-255,156
CCbjj-256,175
CCbjj-257,331
CCbjj-258,141
CCbjj-259,496
CCbjj-260,471
CCbjj-261,300
CCbjj-262,343
CCbjj-263,180
CCbjj-264,436
CCbjj-265,370
CCbjj-266,439
CCbjj-267,266
CCbjj-268,191
CCbjj-269,410
CCbjj-270,326
CCbjj-271,490
CCbjj-272,342
CCbjj-273,310
CCbjj-274,467
CCbjj-275,73
CCbjj-276,249
CCbjj-277,170
CCbjj-278,83
CCbjj-279,56
CCbjj-280,37
CCbjj-281,200
CCbjj-282,405
CCbjj-283,227
CCbjj-284,106
CCbjj-285,369
CCbjj-286,212
CCbjj-287,221
CCbjj-288,34
CCbjj-289,88
CCbjj-290,266
CCbjj-291,184
CCbjj-292,48
CCbjj-293,94
CCbjj-294,353
CCbjj-295,351
CCbjj-296,265
CCbjj-297,183
CCbjj-298,318
CCbjj-299,265
CCbjj-300,266
CCbjj-301,451
CCbjj-302,420
CCbjj-303,250
CCbjj-304,273
CCbjj-305,34
CCbjj-306,166
CCbjj-307,426
CCbjj-308,267
CCbjj-309,453
CCbjj-310,77
CCbjj-311,75
CCbjj-312,93
CCbjj-313,221
CCbjj-314,58
CCbjj-315,47
CCbjj-316,187
CCbjj-317,231
CCbjj-318,48
CCbjj-319,205
CCbjj-320,294
CCbjj-321,242
CCbjj-322,30
CCbjj-323,262
CCbjj-324,277
CCbjj-325,247
CCbjj-326,491
CCbjj-327,68
CCbjj-328,250
CCbjj-329,84
CCbjj-330,277
CCbjj-331,337
CCbjj-332,484
CCbjj-333,349
CCbjj-334,53
CCbjj-335,312
CCbjj-336,263
CCbjj-337,400
CCbjj-338,95
CCbjj-339,223
CCbjj-340,148
CCbjj-341,278
CCbjj-342,91
CCbjj-343,429
CCbjj-344,169
CCbjj-345,69
CCbjj-346,247
CCbjj-347,39
CCbjj-348,477
CCbjj-349,84
CCbjj-350,364
CCbjj-351,118
CCbjj-352,33
CCbjj-353,282
