id_obra,cidade,tipo_solo,nivel_chuva,risco_medio,pior_etapa,risco_pior,material_critico,taxa_insucesso
CCbjj-100,Recife,Argiloso,85,7.57,Estrutura,13.0,Brita,0.61
CCbjj-101,Manaus,Rochoso,158,7.21,Estrutura,10.6,Madeira,0.49
CCbjj-102,São Paulo,Rochoso,121,7.29,Acabamento,12.69,Areia,0.71
CCbjj-103,Porto Alegre,Siltoso,76,9.59,Estrutura,10.84,Piso,0.57
CCbjj-104,Fortaleza,Rochoso,283,9.55,Fundação,12.23,Areia,0.6
CCbjj-105,Curitiba,Argiloso,102,9.39,Fundação,10.02,Cimento,0.31
CCbjj-106,Recife,Rochoso,176,7.89,Estrutura,8.2,Tintas,0.4
CCbjj-107,Manaus,Siltoso,146,8.6,Estrutura,10.48,Piso,0.45
CCbjj-108,Rio de Janeiro,Argiloso,59,10.75,Estrutura,10.88,Aço,0.66
CCbjj-109,Porto Alegre,Arenoso,250,10.73,Acabamento,9.44,Cimento,0.52
CCbjj-110,Recife,Argiloso,91,7.54,Estrutura,9.33,Piso,0.36
CCbjj-111,Belo Horizonte,Rochoso,144,10.71,Acabamento,12.11,Areia,0.65
CCbjj-112,Rio de Janeiro,Siltoso,197,11.24,Estrutura,12.46,Brita,0.8
CCbjj-113,Curitiba,Siltoso,287,11.6,Fundação,8.59,Tintas,0.47
CCbjj-114,São Paulo,Siltoso,71,6.05,Estrutura,10.34,Areia,0.5
CCbjj-115,Recife,Rochoso,250,9.63,Fundação,8.51,Madeira,0.67
CCbjj-116,Belo Horizonte,Arenoso,142,10.39,Estrutura,10.48,Piso,0.76
CCbjj-117,Belo Horizonte,Rochoso,274,7.12,Acabamento,10.31,Madeira,0.65
CCbjj-118,Recife,Arenoso,178,9.73,Estrutura,8.72,Tintas,0.68
CCbjj-119,Belo Horizonte,Siltoso,74,11.81,Estrutura,9.81,Aço,0.39
CCbjj-120,Fortaleza,Siltoso,116,7.74,Estrutura,12.41,Piso,0.77
CCbjj-121,São Paulo,Arenoso,136,10.92,Estrutura,11.14,Brita,0.89
CCbjj-122,Curitiba,Siltoso,154,10.79,Acabamento,8.5,Aço,0.61
CCbjj-123,Porto Alegre,Siltoso,179,6.35,Acabamento,9.11,Madeira,0.8
CCbjj-124,Recife,Rochoso,290,9.24,Fundação,11.08,Cimento,0.6
CCbjj-125,Belo Horizonte,Siltoso,156,6.76,Fundação,8.8,Aço,0.51
CCbjj-126,Belo Horizonte,Siltoso,193,7.05,Fundação,12.55,Revestimento,0.66
CCbjj-127,Porto Alegre,Argiloso,229,9.64,Estrutura,11.81,Madeira,0.74
CCbjj-128,Fortaleza,Rochoso,131,7.39,Acabamento,12.54,Cimento,0.79
CCbjj-129,Fortaleza,Siltoso,64,9.47,Acabamento,11.07,Madeira,0.88
CCbjj-130,Curitiba,Arenoso,210,9.76,Estrutura,8.85,Madeira,0.47
CCbjj-131,Recife,Arenoso,280,9.24,Acabamento,8.93,Revestimento,0.87
CCbjj-132,Fortaleza,Siltoso,126,7.18,Fundação,10.71,Piso,0.31
CCbjj-133,Belém,Arenoso,164,9.86,Estrutura,10.53,Piso,0.72
CCbjj-134,Porto Alegre,Rochoso,220,9.28,Estrutura,12.43,Tintas,0.85
CCbjj-135,Belém,Rochoso,150,9.32,Fundação,12.34,Brita,0.83
CCbjj-136,Rio de Janeiro,Arenoso,131,6.98,Fundação,11.59,Cimento,0.69
CCbjj-137,Manaus,Rochoso,175,9.59,Estrutura,9.73,Cimento,0.6
CCbjj-138,Salvador,Rochoso,61,10.4,Acabamento,8.07,Cimento,0.6
CCbjj-139,Porto Alegre,Siltoso,84,7.08,Fundação,11.28,Cimento,0.49
CCbjj-140,Rio de Janeiro,Arenoso,248,7.28,Estrutura,9.94,Brita,0.43
CCbjj-141,São Paulo,Siltoso,109,6.44,Acabamento,11.04,Revestimento,0.79
CCbjj-142,Recife,Rochoso,273,9.92,Fundação,8.34,Revestimento,0.42
CCbjj-143,Rio de Janeiro,Argiloso,122,6.05,Acabamento,12.47,Tintas,0.64
CCbjj-144,Rio de Janeiro,Arenoso,232,11.35,Fundação,12.31,Aço,0.46
CCbjj-145,São Paulo,Rochoso,155,7.91,Estrutura,9.55,Brita,0.41
CCbjj-146,Belo Horizonte,Arenoso,185,8.08,Estrutura,8.06,Areia,0.43
CCbjj-147,Porto Alegre,Rochoso,176,9.33,Estrutura,8.66,Revestimento,0.71
